7111014,ES,"Burgos Rosa de Lima",422216N,033957W,7111100,ES,BURGOS,392808N,002400W,1
7111014,ES,"Burgos Rosa de Lima",422216N,033957W,7114109,ES,"ESPINOSA DE VILLAGONZALO (APD.",422708N,042204W,0
7114108,ES,"Espinosa de Villagon",422713N,042205W,7114109,ES,"ESPINOSA DE VILLAGONZALO (APD.",422708N,042204W,1
7114108,ES,"Espinosa de Villagon",422713N,042205W,7115402,ES,GIJON,433215N,054032W,0
7115410,ES,Gijˇn,433215N,054033W,7115402,ES,GIJON,433215N,054032W,1
7115410,ES,Gijˇn,433215N,054033W,7109193,ES,BURRIANA,395145N,000405W,0
7165207,ES,"BURRIANA-ALQUERIAS DEL NINO PE",395347N,000613W,7109193,ES,BURRIANA,395145N,000405W,1
7165207,ES,"BURRIANA-ALQUERIAS DEL NINO PE",395347N,000613W,7122002,ES,"AREAS (APD.)",402525N,033340W,0
7170108,ES,"COSLADA APD",402524N,033340W,7122002,ES,"AREAS (APD.)",402525N,033340W,1
7170108,ES,"COSLADA APD",402524N,033340W,7135109,ES,MONTEARAGON,395739N,043849W,0
71G0042,ES,"MONTEARAGON  (APT.)",395739N,043849W,7135109,ES,MONTEARAGON,395739N,043849W,1
71G0042,ES,"MONTEARAGON  (APT.)",395739N,043849W,7400326,SE,BJORKLIDEN,682423N,184112E,0
7401904,SE,"Kaitum station",673231N,200607E,7400326,SE,BJORKLIDEN,682423N,184112E,1
7401904,SE,"Kaitum station",673231N,200607E,7400144,SE,ALVESTA,565355N,143322E,0
7402480,SE,Luleå,653502N,220956E,7400144,SE,ALVESTA,565355N,143322E,1
7402480,SE,Luleå,653502N,220956E,7402821,SE,"MOLNDALS OVRE",573921N,120107E,0
7402820,SE,"Mölndal Nedre statio",573921N,120107E,7402821,SE,"MOLNDALS OVRE",573921N,120107E,1
7402820,SE,"Mölndal Nedre statio",573921N,120107E,7402480,SE,LULEA,653643N,220653E,0
7402953,SE,"NOTVIKEN STATION",653639N,220705E,7402480,SE,LULEA,653643N,220653E,1
7402953,SE,"NOTVIKEN STATION",653639N,220705E,7403157,SE,RAMNAS,594611N,161229E,0
7403164,SE,"Ramnäs station",594610N,161228E,7403157,SE,RAMNAS,594611N,161229E,1
7403164,SE,"Ramnäs station",594610N,161228E,7400119,SE,ALINGSAS,575536N,123156E,0
7404314,SE,"Uddevalla Central",582114N,115526E,7400119,SE,ALINGSAS,575536N,123156E,1
