uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
2019820,RU,"Moskva Smolenskaja",554452N,373501E,2019820,RU,"MOSKVA SMOLENSKAYA",554452N,373501E,1
2019820,RU,"Moskva Smolenskaja",554452N,373501E,2018828,RU,"MOSKVA BELORUSSKAIA",554637N,373454E,0
2019823,RU,"Moskva Belorusskaja",554636N,373447E,2018828,RU,"MOSKVA BELORUSSKAIA",554637N,373454E,1
2019823,RU,"Moskva Belorusskaja",554636N,373447E,2026270,RU,"VLADIMIR PASSAJIRSKII",000000N,000000E,0
2026270,RU,"Wladimir Pass",560707N,402255E,2026270,RU,"VLADIMIR PASSAJIRSKII",000000N,000000E,1
2026270,RU,"Wladimir Pass",560707N,402255E,2026310,RU,"KOVROV 1",562207N,411815E,0
2026310,RU,"KOVROV 1",562207N,411815E,2026310,RU,"KOVROV 1",562207N,411815E,1
2026310,RU,"KOVROV 1",562207N,411815E,2026700,RU,SHAHUNIA,000000N,000000E,0
2026700,RU,Shahunia,000000N,000000E,2026700,RU,SHAHUNIA,000000N,000000E,1
2026700,RU,Shahunia,000000N,000000E,2027020,RU,KIROV,583459N,493901E,0
2027020,RU,Kirov,583459N,493901E,2027020,RU,KIROV,583459N,493901E,1
2027020,RU,Kirov,583459N,493901E,2027400,RU,ZUEVKA,582414N,510804E,0
2027400,RU,ZUEVKA,582414N,510804E,2027400,RU,ZUEVKA,582414N,510804E,1
2027400,RU,ZUEVKA,582414N,510804E,2027570,RU,GLAZOV,580757N,524009E,0
2027570,RU,Glazov,580757N,524009E,2027570,RU,GLAZOV,580757N,524009E,1
2027570,RU,Glazov,580757N,524009E,2027580,RU,BALEZINO,575823N,530018E,0
2027580,RU,BALEZINO,575823N,530018E,2027580,RU,BALEZINO,575823N,530018E,1
2027580,RU,BALEZINO,575823N,530018E,2053280,RU,ADLER,432518N,395501E,0
2053280,RU,Adler,432648N,395417E,2053280,RU,ADLER,432518N,395501E,1
2053280,RU,Adler,432648N,395417E,2053290,RU,SOCHI,433344N,394507E,0
2053290,RU,Sochi,433526N,394345E,2053290,RU,SOCHI,433344N,394507E,1
